"JJ","CA","CB","CC","CD","CE"
2019-03-31,1,1,0.362201650650875,0.216702919876172,0.000348394152759167
2019-04-01,1,1,0.36177274920192,0.21595516572761,0.000348394152759167
2019-04-02,1,1,0.361344355637047,0.215209991776247,0.000348394152759167
2019-04-03,1,1,0.360916469354845,0.214467389118864,0.000348394152759167
2019-04-04,1,1,0.360489089754614,0.213727348882966,0.000348394152759167
2019-04-05,1,1,0.360062216236367,0.212989862226673,0.000348394152759167
2019-04-06,1,1,0.359635848200826,0.212254920338615,0.000348394152759167
2019-04-07,1,1,0.359209985049424,0.211522514437824,0.000348394152759167
2019-04-08,1,1,0.3587846261843,0.210792635773635,0.000348394152759167
2019-04-09,1,1,0.358359771008304,0.210065275625575,0.000348394152759167
2019-04-10,1,1,0.357935418924993,0.209340425303265,0.000348394152759167
2019-04-11,1,1,0.357511569338627,0.20861807614631,0.000348394152759167
2019-04-12,1,1,0.357088221654176,0.2078982195242,0.000348394152759167
2019-04-13,1,1,0.356665375277311,0.207180846836206,0.000348394152759167
2019-04-14,1,1,0.356243029614408,0.206465949511274,0.000348394152759167
2019-04-15,1,1,0.355821184072548,0.205753519007929,0.000348394152759167
2019-04-16,1,1,0.355399838059509,0.205043546814165,0.000348394152759167
2019-04-17,1,1,0.354978990983776,0.204336024447352,0.000348394152759167
2019-04-18,1,1,0.354558642254531,0.203630943454126,0.000348394152759167
2019-04-19,1,1,0.354138791281657,0.202928295410296,0.000348394152759167
2019-04-20,1,1,0.353719437475735,0.202228071920735,0.000348394152759167
2019-04-21,1,1,0.353300580248043,0.201530264619289,0.000348394152759167
2019-04-22,1,0.997880176420973,0.352882219010559,0.200834865168668,0.000348394152759167
2019-04-23,1,0.994587511664805,0.352464353175956,0.200141865260353,0.000348394152759167
2019-04-24,1,0.991305711581022,0.3520469821576,0.199451256614494,0.000348394152759167
2019-04-25,1,0.988034740319906,0.351630105369556,0.198763030979811,0.000348394152759167
2019-04-26,1,0.984774562150028,0.35121372222658,0.198077180133497,0.000348394152759167
2019-04-27,1,0.981525141457864,0.350797832144121,0.197393695881116,0.000348394152759167
2019-04-28,1,0.978286442747401,0.350382434538322,0.196712570056511,0.000348394152759167
2019-04-29,1,0.975058430639751,0.349967528826016,0.1960337945217,0.000348394152759167
2019-04-30,1,0.971841069872762,0.349553114424726,0.195357361166784,0.000348394152759167
2019-05-01,1,0.96863432530064,0.349139190752666,0.194683261909847,0.000348394152759167
2019-05-02,1,0.965438161893555,0.348725757228739,0.194011488696861,0.000348394152759167
2019-05-03,1,0.962252544737266,0.348312813272535,0.193342033501589,0.000348394152759167
2019-05-04,1,0.959077439032739,0.347900358304333,0.192674888325489,0.000348394152759167
2019-05-05,1,0.95591281009576,0.347488391745095,0.192010045197619,0.000348394152759167
2019-05-06,1,0.952758623356566,0.347076913016474,0.191347496174541,0.000348394152759167
2019-05-07,1,0.949614844359459,0.346665921540803,0.190687233340227,0.000348394152759167
2019-05-08,1,0.946481438762435,0.3462554167411,0.190029248805965,0.000348394152759167
2019-05-09,1,0.943358372336807,0.34584539804107,0.189373534710262,0.000348394152759167
2019-05-10,1,0.940245610966829,0.345435864865096,0.188720083218753,0.000348394152759167
2019-05-11,1,0.937143120649328,0.345026816638244,0.188068886524106,0.000348394152759167
2019-05-12,1,0.934050867493328,0.344618252786261,0.187419936845929,0.000348394152759167
2019-05-13,1,0.930968817719683,0.344210172735574,0.186773226430675,0.000348394152759167
2019-05-14,1,0.927896937660705,0.34380257591329,0.186128747551555,0.000348394152759167
2019-05-15,1,0.924835193759799,0.343395461747193,0.18548649250844,0.000348394152759167
2019-05-16,1,0.921783552571095,0.342988829665746,0.18484645362777,0.000348394152759167
2019-05-17,1,0.918741980759085,0.342582679098086,0.184208623262466,0.000348394152759167
2019-05-18,1,0.915710445098253,0.34217700947403,0.183572993791833,0.000348394152759167
2019-05-19,1,0.912688912472718,0.341771820224067,0.182939557621475,0.000348394152759167
2019-05-20,1,0.909677349875871,0.341367110779363,0.182308307183199,0.000348394152759167
2019-05-21,1,0.906675724410013,0.340962880571754,0.181679234934928,0.000348394152759167
2019-05-22,1,0.903684003285994,0.340559129033752,0.181052333360607,0.000348394152759167
2019-05-23,1,0.90070215382286,0.34015585559854,0.180427594970121,0.000348394152759167
2019-05-24,1,0.897730143447492,0.339753059699972,0.179805012299195,0.000348394152759167
2019-05-25,1,0.894767939694251,0.339350740772573,0.179184577909313,0.000348394152759167
2019-05-26,1,0.891815510204623,0.338948898251536,0.178566284387627,0.000348394152759167
2019-05-27,1,0.888872822726867,0.338547531572724,0.177950124346865,0.000348394152759167
2019-05-28,1,0.885939845115661,0.338146640172669,0.177336090425247,0.000348394152759167
2019-05-29,1,0.883016545331753,0.337746223488569,0.176724175286397,0.000348394152759167
2019-05-30,1,0.880102891441609,0.337346280958288,0.176114371619252,0.000348394152759167
2019-05-31,0.990458277642659,0.851502161204482,0.326363832344338,0.169801665003641,0.000348394152759167
2019-06-01,0.970543265971891,0.823830869761446,0.315738921917013,0.163715233304997,0.000348394152759167
2019-06-02,0.951028682768228,0.797058813111946,0.305459909871802,0.157846965844151,0.000348394152759167
2019-06-03,0.931906476670217,0.771156768795743,0.295515535342879,0.152189042664022,0.000348394152759167
2019-06-04,0.913168758204052,0.746096463995773,0.285894904066591,0.146733924108872,0.000348394152759167
2019-06-05,0.894807796528516,0.721850544677563,0.276587476446573,0.141474340777086,0.000348394152759167
2019-06-06,0.876816016245381,0.698392545731521,0.267583056007411,0.136403283834082,0.000348394152759167
